airfoil_family,tubercle_amplitude,tubercle_wavelength,tubercle_shape,root_chord,tip_chord,sweep_angle,angle_of_attack,airspeed,separation_x_over_c,data_source
symmetric,0,0,none,1,1,0,0,15,0.648,OpenFOAM
symmetric,0,0,none,1,1,0,0,15,0.654,OpenFOAM
symmetric,0,0,none,1,1,0,0,15,0.647,OpenFOAM
symmetric,0,0,none,1,1,0,0,15,0.668,OpenFOAM
symmetric,0,0,none,1,1,0,0,15,0.649,OpenFOAM
symmetric,0,0,none,1,1,0,0,15,0.652,OpenFOAM
symmetric,0,0,none,1,1,0,0,15,0.645,OpenFOAM
symmetric,0,0,none,1,1,0,0,15,0.644,OpenFOAM
symmetric,0,0,none,1,1,0,5,15,0.597,OpenFOAM
symmetric,0,0,none,1,1,0,5,15,0.602,OpenFOAM
symmetric,0,0,none,1,1,0,5,15,0.548,OpenFOAM
symmetric,0,0,none,1,1,0,5,15,0.558,OpenFOAM
symmetric,0,0,none,1,1,0,5,15,0.599,OpenFOAM
symmetric,0,0,none,1,1,0,5,15,0.601,OpenFOAM
symmetric,0,0,none,1,1,0,5,15,0.548,OpenFOAM
symmetric,0,0,none,1,1,0,5,15,0.556,OpenFOAM
symmetric,0,0,none,1,1,0,10,15,0.433,OpenFOAM
symmetric,0,0,none,1,1,0,10,15,0.456,OpenFOAM
symmetric,0,0,none,1,1,0,10,15,0.412,OpenFOAM
symmetric,0,0,none,1,1,0,10,15,0.483,OpenFOAM
symmetric,0,0,none,1,1,0,10,15,0.435,OpenFOAM
symmetric,0,0,none,1,1,0,10,15,0.444,OpenFOAM
symmetric,0,0,none,1,1,0,10,15,0.423,OpenFOAM
symmetric,0,0,none,1,1,0,10,15,0.471,OpenFOAM
symmetric,0,0,none,1,1,0,15,15,0.368,OpenFOAM
symmetric,0,0,none,1,1,0,15,15,0.345,OpenFOAM
symmetric,0,0,none,1,1,0,15,15,0.392,OpenFOAM
symmetric,0,0,none,1,1,0,15,15,0.339,OpenFOAM
symmetric,0,0,none,1,1,0,15,15,0.369,OpenFOAM
symmetric,0,0,none,1,1,0,15,15,0.356,OpenFOAM
symmetric,0,0,none,1,1,0,15,15,0.376,OpenFOAM
symmetric,0,0,none,1,1,0,15,15,0.322,OpenFOAM
symmetric,0,0,none,1,1,0,20,15,0.179,OpenFOAM
symmetric,0,0,none,1,1,0,20,15,0.184,OpenFOAM
symmetric,0,0,none,1,1,0,20,15,0.163,OpenFOAM
symmetric,0,0,none,1,1,0,20,15,0.172,OpenFOAM
symmetric,0,0,none,1,1,0,20,15,0.183,OpenFOAM
symmetric,0,0,none,1,1,0,20,15,0.178,OpenFOAM
symmetric,0,0,none,1,1,0,20,15,0.172,OpenFOAM
symmetric,0,0,none,1,1,0,20,15,0.165,OpenFOAM
symmetric,0,0,none,1,1,0,0,30,0.621,OpenFOAM
symmetric,0,0,none,1,1,0,0,30,0.642,OpenFOAM
symmetric,0,0,none,1,1,0,0,30,0.613,OpenFOAM
symmetric,0,0,none,1,1,0,0,30,0.625,OpenFOAM
symmetric,0,0,none,1,1,0,0,30,0.631,OpenFOAM
symmetric,0,0,none,1,1,0,0,30,0.638,OpenFOAM
symmetric,0,0,none,1,1,0,0,30,0.617,OpenFOAM
symmetric,0,0,none,1,1,0,0,30,0.619,OpenFOAM
symmetric,0,0,none,1,1,0,5,30,0.538,OpenFOAM
symmetric,0,0,none,1,1,0,5,30,0.517,OpenFOAM
symmetric,0,0,none,1,1,0,5,30,0.556,OpenFOAM
symmetric,0,0,none,1,1,0,5,30,0.532,OpenFOAM
symmetric,0,0,none,1,1,0,5,30,0.539,OpenFOAM
symmetric,0,0,none,1,1,0,5,30,0.522,OpenFOAM
symmetric,0,0,none,1,1,0,5,30,0.549,OpenFOAM
symmetric,0,0,none,1,1,0,5,30,0.538,OpenFOAM
symmetric,0,0,none,1,1,0,10,30,0.36,OpenFOAM
symmetric,0,0,none,1,1,0,10,30,0.382,OpenFOAM
symmetric,0,0,none,1,1,0,10,30,0.334,OpenFOAM
symmetric,0,0,none,1,1,0,10,30,0.345,OpenFOAM
symmetric,0,0,none,1,1,0,10,30,0.364,OpenFOAM
symmetric,0,0,none,1,1,0,10,30,0.378,OpenFOAM
symmetric,0,0,none,1,1,0,10,30,0.346,OpenFOAM
symmetric,0,0,none,1,1,0,10,30,0.351,OpenFOAM
symmetric,0,0,none,1,1,0,15,30,0.277,OpenFOAM
symmetric,0,0,none,1,1,0,15,30,0.288,OpenFOAM
symmetric,0,0,none,1,1,0,15,30,0.267,OpenFOAM
